                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.58791,                 2.9718,                 1.0709,                0.59388,                0.53886,                0.57189,                0.47029,                0.60637,                 2.1678,                 1.1292,             8.5145e-05,             8.5145e-05,             8.5145e-05
                      2,                0.54273,                 1.5106,                 1.0233,                0.77055,                0.72571,                 0.8172,                0.67746,                0.57649,                  1.262,                 1.1165,             8.6092e-05,             8.6092e-05,             8.6092e-05
