                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.64897,                  4.085,                 1.1061,                0.19026,                0.27802,                0.14197,                0.11766,                0.66355,                  4.017,                 1.1853,             8.5145e-05,             8.5145e-05,             8.5145e-05
                      2,                0.61763,                 3.2168,                 1.0806,                0.27254,                0.44722,                0.32831,                0.27286,                0.60989,                 3.3735,                 1.1273,             8.6092e-05,             8.6092e-05,             8.6092e-05
